,fips_code,state_abbr,yoy_AUT,yoy_CRC,yoy_MTG,yoy_STU
0,1,AL,0.0714347569318481,0.0904457074861096,0.592607116121616,-0.22595652195263397
1,2,AK,-4.4125338203748795e-05,0.0694719045332981,0.582728404727587,1.95363139890629
2,4,AZ,-0.0298486210284656,0.0806404235728573,0.47094936353125394,0.39121405170870605
3,5,AR,-0.0271436042126263,-0.0671419631335527,0.0918054378469582,-0.26411545682626003
4,6,CA,-0.00721617904484761,-0.0567396804096724,0.19743394779407603,0.031694975078953
5,8,CO,0.0299776822809905,-0.11084067543653,0.12069004652777598,-0.31140726549116304
6,9,CT,0.00594278262811976,-0.12651500805839502,-0.0715906723626458,-0.591777869941215
7,10,DE,0.0647899687729647,0.253404058219065,0.17166699732739601,-0.501639887601122
8,11,DC,-0.318723128206729,-0.104689190625575,-0.47175929793575605,-0.6876943013007021
9,12,FL,0.100109496146769,0.00671523772875182,0.266244179067117,-0.127137394257614
10,13,GA,0.0278222479792773,-0.0100467557165773,0.221305601846496,-0.0360518715271232
11,15,HI,0.15870108061906002,0.17907589019731102,-0.126395435726091,-0.647964328707754
12,16,ID,-0.0418981307592711,-0.0954125438856717,0.3802861581723,0.14881278432443498
13,17,IL,0.0919770819572541,-0.00120579318635072,0.116615730108906,0.271601870988
14,18,IN,0.0179944158609675,0.0155206264001357,0.0841218090258544,0.0679177818723535
15,19,IA,0.05940056213078201,0.066954586714604,0.0121075557308981,0.21896400894075
16,20,KS,0.16180724964457502,-0.14341601368442403,0.0535699614686667,0.46896656929979397
17,21,KY,0.0329931226471578,-0.105923747078033,0.0421084982260547,0.782800396321282
18,22,LA,0.17656782574328897,0.0111295560263409,0.123177584740231,0.321791437788648
19,23,ME,0.0656829152059297,0.0476812645934332,0.260176194768049,0.182126193333499
20,24,MD,0.0420508283967593,-0.0638569639229351,0.0522221184504739,-0.0127554860832063
21,25,MA,-0.106925885017233,0.0180698130428889,0.0472737748754433,-0.235850439217301
22,26,MI,0.0176934295416551,-0.0320756618555256,0.218876400280982,0.0657819451766297
23,27,MN,0.0663878999318188,0.32971476887984,0.135187899441155,0.6763655721619088
24,28,MS,-0.136361580220007,-0.148105738297306,0.671280129640066,0.211559643539587
25,29,MO,0.00176582246380197,-0.0578479345727724,0.35670782099835296,0.592275905771671
26,30,MT,0.0557872264133505,0.0719077948167457,0.300676565274052,0.162010013097267
27,31,NE,0.0410590392055128,-0.0410461328897745,0.122227199171596,0.233283309424742
28,32,NV,0.052295589551435,0.160300482145509,0.40600386604159205,0.8833146210984241
29,33,NH,-0.0820276824957493,-0.0571145633349679,0.170387956534592,0.0811450136929901
30,34,NJ,0.0232438570625819,0.0024847839347748,0.168850209092514,-0.388968019126535
31,35,NM,0.0281297374970662,-0.0830933178318829,0.295661187619135,0.591030097619841
32,36,NY,0.036527505138032004,-0.0666037341526337,-0.07419155072213,-0.13358555549468598
33,37,NC,-0.0354096573120285,0.076574058217906,0.11492157308154101,-0.0575349906319577
34,38,ND,0.0832238981188507,-0.0807208692789418,0.101163324693362,1.22619631780152
35,39,OH,-0.00567498921411902,0.0400160044719522,0.00152410288661664,0.111255633558881
36,40,OK,0.0452166980236359,-0.121119934712724,0.074297895544488,0.523213119701553
37,41,OR,-0.0550514005784117,0.137533632381546,0.26315325671971,0.34959083147119896
38,42,PA,0.056941789654728,-0.19647510964319,0.168891872231422,-0.0845155470270159
39,44,RI,0.0337666068107907,0.309703983620633,0.21749920817332802,-0.574118242705115
40,45,SC,0.166500579698629,-0.150927338628442,0.14593629269582098,-0.40949835266609996
41,46,SD,-0.233553550583123,0.0742538729578064,-0.132492097474835,-0.7793550733232859
42,47,TN,0.0210080722489006,-0.322793300146763,0.528795855080296,0.5160787384687411
43,48,TX,0.0995852453163337,0.0334113268277618,0.314556305184118,0.0236547108817493
44,49,UT,-0.11520161784381401,-0.32673019338531,0.497392638460114,0.158360003670038
45,50,VT,-0.21724145878500198,-0.26684444470734303,0.160445473901552,0.0948546043011738
46,51,VA,-0.0443091888137173,0.0166637321524925,0.30067628619033804,0.24509851788439002
47,53,WA,-0.064471741699077,-0.06970131947295301,0.25736343380425697,-0.0289980388248486
48,54,WV,0.00808721985336458,0.0102881618425961,0.0173201314534879,0.46086198874277895
49,55,WI,0.0603381905705866,0.0814326259665574,-0.11514913881972501,0.11569300848685302
50,56,WY,-0.129332097088732,0.275217312717279,0.49872298180459,0.16084644771897302
